Team,League,Season,Position,Points,Win,Draw,Loss,Scored,Conceded,Shots_For,Shots_Ag,Shots_Tg_For,Shots_Tg_Ag,Fouls_For,Fouls_Ag,Bk_Pts,Win_H,Draw_H,Loss_H,Scored_H,Conceded_H,Shots_For_H,Shots_Ag_H,Shots_Tg_For_H,Shots_Tg_Ag_H,Fouls_For_H,Fouls_Ag_H,Bk_Pts_H,Win_A,Draw_A,Loss_A,Scored_A,Conceded_A,Shots_For_A,Shots_Ag_A,Shots_Tg_For_A,Shots_Tg_Ag_A,Fouls_For_A,Fouls_Ag_A,Bk_Pts_A
Bournemouth,E1,1415,1,90.0,26.0,12.0,8.0,98.0,45.0,767.0,528.0,270.0,154.0,466.0,577.0,835.0,13.0,7.0,3.0,48.0,25.0,395.0,237.0,141.0,65.0,236.0,291.0,375.0,13.0,5.0,5.0,50.0,20.0,372.0,291.0,129.0,89.0,230.0,286.0,460.0
Watford,E1,1415,2,89.0,27.0,8.0,11.0,91.0,50.0,668.0,632.0,252.0,206.0,487.0,460.0,915.0,14.0,4.0,5.0,48.0,22.0,362.0,266.0,129.0,89.0,243.0,254.0,370.0,13.0,4.0,6.0,43.0,28.0,306.0,366.0,123.0,117.0,244.0,206.0,545.0
Norwich,E1,1415,3,86.0,25.0,11.0,10.0,88.0,48.0,740.0,431.0,243.0,154.0,545.0,467.0,950.0,12.0,6.0,5.0,50.0,24.0,439.0,184.0,146.0,71.0,249.0,230.0,405.0,13.0,5.0,5.0,38.0,24.0,301.0,247.0,97.0,83.0,296.0,237.0,545.0
Middlesbrough,E1,1415,4,85.0,25.0,10.0,11.0,68.0,37.0,663.0,532.0,214.0,150.0,583.0,491.0,930.0,15.0,5.0,3.0,42.0,12.0,385.0,240.0,133.0,66.0,287.0,272.0,415.0,10.0,5.0,8.0,26.0,25.0,278.0,292.0,81.0,84.0,296.0,219.0,515.0
Ipswich,E1,1415,5,78.0,22.0,12.0,12.0,72.0,54.0,676.0,604.0,228.0,174.0,525.0,531.0,730.0,15.0,5.0,3.0,40.0,18.0,365.0,291.0,122.0,84.0,261.0,277.0,350.0,7.0,7.0,9.0,32.0,36.0,311.0,313.0,106.0,90.0,264.0,254.0,380.0
Wolves,E1,1415,6,78.0,22.0,12.0,12.0,70.0,56.0,598.0,641.0,198.0,203.0,490.0,496.0,820.0,13.0,6.0,4.0,42.0,23.0,345.0,306.0,115.0,106.0,234.0,234.0,360.0,9.0,6.0,8.0,28.0,33.0,253.0,335.0,83.0,97.0,256.0,262.0,460.0
Brentford,E1,1415,7,78.0,23.0,9.0,14.0,78.0,59.0,710.0,632.0,266.0,215.0,409.0,580.0,780.0,12.0,6.0,5.0,46.0,28.0,401.0,282.0,152.0,93.0,184.0,279.0,330.0,11.0,3.0,9.0,32.0,31.0,309.0,350.0,114.0,122.0,225.0,301.0,450.0
Derby,E1,1415,8,77.0,21.0,14.0,11.0,85.0,56.0,602.0,584.0,215.0,196.0,502.0,604.0,825.0,12.0,7.0,4.0,48.0,24.0,320.0,264.0,111.0,79.0,239.0,286.0,320.0,9.0,7.0,7.0,37.0,32.0,282.0,320.0,104.0,117.0,263.0,318.0,505.0
Blackburn,E1,1415,9,67.0,17.0,16.0,13.0,66.0,59.0,694.0,650.0,217.0,219.0,503.0,522.0,730.0,11.0,6.0,6.0,37.0,28.0,391.0,314.0,125.0,104.0,236.0,256.0,245.0,6.0,10.0,7.0,29.0,31.0,303.0,336.0,92.0,115.0,267.0,266.0,485.0
Birmingham,E1,1415,10,63.0,16.0,15.0,15.0,54.0,64.0,614.0,724.0,204.0,235.0,462.0,554.0,680.0,10.0,7.0,6.0,29.0,31.0,326.0,314.0,106.0,104.0,226.0,287.0,310.0,6.0,8.0,9.0,25.0,33.0,288.0,410.0,98.0,131.0,236.0,267.0,370.0
Cardiff,E1,1415,11,62.0,16.0,14.0,16.0,57.0,61.0,577.0,632.0,173.0,183.0,510.0,530.0,760.0,10.0,5.0,8.0,31.0,30.0,320.0,267.0,98.0,81.0,244.0,269.0,245.0,6.0,9.0,8.0,26.0,31.0,257.0,365.0,75.0,102.0,266.0,261.0,515.0
Sheffield Weds,E1,1415,12,60.0,14.0,18.0,14.0,43.0,49.0,600.0,568.0,166.0,181.0,560.0,518.0,935.0,5.0,11.0,7.0,16.0,20.0,322.0,259.0,87.0,91.0,275.0,274.0,470.0,9.0,7.0,7.0,27.0,29.0,278.0,309.0,79.0,90.0,285.0,244.0,465.0
Charlton,E1,1415,13,60.0,14.0,18.0,14.0,54.0,60.0,475.0,751.0,168.0,220.0,458.0,401.0,640.0,9.0,9.0,5.0,32.0,27.0,264.0,341.0,95.0,105.0,233.0,214.0,305.0,5.0,9.0,9.0,22.0,33.0,211.0,410.0,73.0,115.0,225.0,187.0,335.0
Nott'm Forest,E1,1415,14,59.0,15.0,14.0,17.0,71.0,69.0,673.0,649.0,213.0,205.0,537.0,527.0,735.0,9.0,5.0,9.0,37.0,32.0,373.0,298.0,102.0,92.0,249.0,265.0,325.0,6.0,9.0,8.0,34.0,37.0,300.0,351.0,111.0,113.0,288.0,262.0,410.0
Leeds,E1,1415,15,56.0,15.0,11.0,20.0,50.0,61.0,529.0,706.0,158.0,218.0,559.0,516.0,1025.0,8.0,6.0,9.0,22.0,24.0,289.0,305.0,83.0,84.0,264.0,271.0,525.0,7.0,5.0,11.0,28.0,37.0,240.0,401.0,75.0,134.0,295.0,245.0,500.0
Huddersfield,E1,1415,16,55.0,13.0,16.0,17.0,58.0,75.0,662.0,637.0,237.0,212.0,499.0,494.0,780.0,8.0,8.0,7.0,34.0,34.0,352.0,272.0,138.0,92.0,243.0,267.0,370.0,5.0,8.0,10.0,24.0,41.0,310.0,365.0,99.0,120.0,256.0,227.0,410.0
Fulham,E1,1415,17,52.0,14.0,10.0,22.0,62.0,83.0,601.0,712.0,193.0,246.0,462.0,511.0,865.0,9.0,5.0,9.0,36.0,38.0,355.0,341.0,106.0,115.0,243.0,267.0,460.0,5.0,5.0,13.0,26.0,45.0,246.0,371.0,87.0,131.0,219.0,244.0,405.0
Bolton,E1,1415,18,51.0,13.0,12.0,21.0,54.0,67.0,584.0,728.0,194.0,243.0,571.0,469.0,820.0,9.0,8.0,6.0,35.0,27.0,320.0,346.0,108.0,115.0,290.0,234.0,410.0,4.0,4.0,15.0,19.0,40.0,264.0,382.0,86.0,128.0,281.0,235.0,410.0
Reading,E1,1415,19,50.0,13.0,11.0,22.0,48.0,69.0,599.0,574.0,185.0,204.0,607.0,512.0,850.0,8.0,5.0,10.0,24.0,25.0,319.0,241.0,95.0,88.0,296.0,257.0,340.0,5.0,6.0,12.0,24.0,44.0,280.0,333.0,90.0,116.0,311.0,255.0,510.0
Rotherham,E1,1415,20,49.0,11.0,16.0,19.0,46.0,67.0,618.0,618.0,189.0,203.0,501.0,464.0,780.0,8.0,7.0,8.0,31.0,34.0,314.0,277.0,95.0,99.0,256.0,241.0,395.0,3.0,9.0,11.0,15.0,33.0,304.0,341.0,94.0,104.0,245.0,223.0,385.0
Brighton,E1,1415,21,47.0,10.0,17.0,19.0,44.0,54.0,663.0,579.0,185.0,179.0,520.0,537.0,1005.0,6.0,8.0,9.0,26.0,29.0,382.0,260.0,113.0,77.0,248.0,266.0,485.0,4.0,9.0,10.0,18.0,25.0,281.0,319.0,72.0,102.0,272.0,271.0,520.0
Millwall,E1,1415,22,41.0,9.0,14.0,23.0,42.0,76.0,610.0,601.0,171.0,217.0,645.0,604.0,1015.0,5.0,7.0,11.0,25.0,40.0,314.0,284.0,85.0,108.0,335.0,325.0,535.0,4.0,7.0,12.0,17.0,36.0,296.0,317.0,86.0,109.0,310.0,279.0,480.0
Wigan,E1,1415,23,39.0,9.0,12.0,25.0,39.0,64.0,547.0,539.0,155.0,186.0,524.0,598.0,945.0,3.0,8.0,12.0,18.0,29.0,313.0,220.0,82.0,82.0,257.0,326.0,415.0,6.0,4.0,13.0,21.0,35.0,234.0,319.0,73.0,104.0,267.0,272.0,530.0
Blackpool,E1,1415,24,26.0,4.0,14.0,28.0,36.0,91.0,528.0,746.0,154.0,245.0,566.0,528.0,930.0,4.0,7.0,12.0,18.0,35.0,315.0,308.0,92.0,99.0,257.0,264.0,455.0,0.0,7.0,16.0,18.0,56.0,213.0,438.0,62.0,146.0,309.0,264.0,475.0
Burnley,E1,1516,1,93.0,26.0,15.0,5.0,72.0,35.0,546.0,661.0,179.0,180.0,487.0,453.0,500.0,15.0,6.0,2.0,38.0,14.0,288.0,289.0,96.0,79.0,241.0,242.0,230.0,11.0,9.0,3.0,34.0,21.0,258.0,372.0,83.0,101.0,246.0,211.0,270.0
Brighton,E1,1516,2,89.0,24.0,17.0,5.0,72.0,42.0,615.0,545.0,203.0,169.0,524.0,476.0,840.0,15.0,5.0,3.0,40.0,18.0,353.0,237.0,117.0,76.0,246.0,252.0,415.0,9.0,12.0,2.0,32.0,24.0,262.0,308.0,86.0,93.0,278.0,224.0,425.0
Middlesbrough,E1,1516,3,89.0,26.0,11.0,9.0,63.0,31.0,632.0,517.0,217.0,153.0,488.0,506.0,690.0,16.0,5.0,2.0,34.0,8.0,362.0,236.0,119.0,65.0,216.0,246.0,265.0,10.0,6.0,7.0,29.0,23.0,270.0,281.0,98.0,88.0,272.0,260.0,425.0
Hull,E1,1516,4,83.0,24.0,11.0,11.0,69.0,35.0,733.0,486.0,228.0,148.0,457.0,489.0,605.0,15.0,7.0,1.0,47.0,12.0,400.0,188.0,128.0,60.0,221.0,255.0,220.0,9.0,4.0,10.0,22.0,23.0,333.0,298.0,100.0,88.0,236.0,234.0,385.0
Derby,E1,1516,5,78.0,21.0,15.0,10.0,66.0,43.0,655.0,535.0,206.0,154.0,462.0,567.0,670.0,12.0,7.0,4.0,37.0,16.0,372.0,220.0,112.0,69.0,229.0,301.0,340.0,9.0,8.0,6.0,29.0,27.0,283.0,315.0,94.0,85.0,233.0,266.0,330.0
Sheffield Weds,E1,1516,6,74.0,19.0,17.0,10.0,66.0,45.0,573.0,505.0,195.0,161.0,574.0,532.0,905.0,13.0,8.0,2.0,42.0,17.0,333.0,219.0,123.0,69.0,272.0,275.0,345.0,6.0,9.0,8.0,24.0,28.0,240.0,286.0,72.0,92.0,302.0,257.0,560.0
Ipswich,E1,1516,7,69.0,18.0,15.0,13.0,53.0,51.0,585.0,610.0,190.0,187.0,496.0,433.0,680.0,9.0,8.0,6.0,28.0,24.0,326.0,258.0,100.0,87.0,235.0,234.0,365.0,9.0,7.0,7.0,25.0,27.0,259.0,352.0,90.0,100.0,261.0,199.0,315.0
Cardiff,E1,1516,8,68.0,17.0,17.0,12.0,56.0,51.0,604.0,584.0,200.0,189.0,475.0,428.0,850.0,12.0,9.0,2.0,33.0,20.0,336.0,239.0,117.0,81.0,236.0,217.0,410.0,5.0,8.0,10.0,23.0,31.0,268.0,345.0,83.0,108.0,239.0,211.0,440.0
Brentford,E1,1516,9,65.0,19.0,8.0,19.0,72.0,67.0,610.0,594.0,219.0,230.0,519.0,545.0,865.0,10.0,4.0,9.0,33.0,30.0,338.0,270.0,118.0,113.0,248.0,264.0,380.0,9.0,4.0,10.0,39.0,37.0,272.0,324.0,101.0,117.0,271.0,281.0,485.0
Birmingham,E1,1516,10,63.0,16.0,15.0,15.0,53.0,49.0,569.0,649.0,184.0,204.0,493.0,592.0,795.0,9.0,5.0,9.0,27.0,27.0,296.0,303.0,91.0,93.0,251.0,296.0,355.0,7.0,10.0,6.0,26.0,22.0,273.0,346.0,93.0,111.0,242.0,296.0,440.0
Preston,E1,1516,11,62.0,15.0,17.0,14.0,45.0,45.0,582.0,550.0,176.0,160.0,543.0,516.0,1015.0,7.0,10.0,6.0,21.0,21.0,320.0,265.0,89.0,76.0,262.0,277.0,435.0,8.0,7.0,8.0,24.0,24.0,262.0,285.0,87.0,84.0,281.0,239.0,580.0
QPR,E1,1516,12,60.0,14.0,18.0,14.0,54.0,54.0,588.0,566.0,197.0,179.0,570.0,429.0,745.0,10.0,9.0,4.0,37.0,25.0,347.0,277.0,118.0,92.0,278.0,218.0,315.0,4.0,9.0,10.0,17.0,29.0,241.0,289.0,79.0,87.0,292.0,211.0,430.0
Leeds,E1,1516,13,59.0,14.0,17.0,15.0,50.0,58.0,568.0,588.0,156.0,209.0,472.0,589.0,1015.0,7.0,8.0,8.0,23.0,28.0,285.0,263.0,72.0,94.0,256.0,326.0,455.0,7.0,9.0,7.0,27.0,30.0,283.0,325.0,84.0,115.0,216.0,263.0,560.0
Wolves,E1,1516,14,58.0,14.0,16.0,16.0,53.0,58.0,526.0,617.0,167.0,203.0,496.0,490.0,515.0,7.0,10.0,6.0,26.0,26.0,273.0,286.0,85.0,106.0,229.0,271.0,255.0,7.0,6.0,10.0,27.0,32.0,253.0,331.0,82.0,97.0,267.0,219.0,260.0
Blackburn,E1,1516,15,55.0,13.0,16.0,17.0,46.0,46.0,562.0,534.0,186.0,164.0,536.0,517.0,1010.0,8.0,8.0,7.0,29.0,23.0,305.0,230.0,109.0,73.0,248.0,260.0,415.0,5.0,8.0,10.0,17.0,23.0,257.0,304.0,77.0,91.0,288.0,257.0,595.0
Nott'm Forest,E1,1516,16,55.0,13.0,16.0,17.0,43.0,47.0,623.0,641.0,198.0,193.0,524.0,488.0,960.0,7.0,8.0,8.0,25.0,26.0,357.0,301.0,108.0,100.0,255.0,249.0,535.0,6.0,8.0,9.0,18.0,21.0,266.0,340.0,90.0,93.0,269.0,239.0,425.0
Bristol City,E1,1516,17,52.0,13.0,13.0,20.0,54.0,71.0,551.0,580.0,185.0,184.0,496.0,526.0,695.0,7.0,7.0,9.0,34.0,34.0,292.0,256.0,108.0,85.0,224.0,269.0,320.0,6.0,6.0,11.0,20.0,37.0,259.0,324.0,77.0,99.0,272.0,257.0,375.0
Reading,E1,1516,18,52.0,13.0,13.0,20.0,52.0,59.0,718.0,487.0,201.0,174.0,471.0,577.0,740.0,8.0,9.0,6.0,25.0,20.0,370.0,215.0,95.0,63.0,229.0,294.0,270.0,5.0,4.0,14.0,27.0,39.0,348.0,272.0,106.0,111.0,242.0,283.0,470.0
Fulham,E1,1516,19,51.0,12.0,15.0,19.0,66.0,79.0,588.0,666.0,210.0,234.0,461.0,461.0,890.0,8.0,5.0,10.0,36.0,36.0,330.0,329.0,113.0,112.0,234.0,252.0,435.0,4.0,10.0,9.0,30.0,43.0,258.0,337.0,97.0,122.0,227.0,209.0,455.0
Huddersfield,E1,1516,20,51.0,13.0,12.0,21.0,59.0,70.0,596.0,508.0,192.0,181.0,563.0,509.0,895.0,7.0,6.0,10.0,33.0,33.0,326.0,212.0,100.0,75.0,272.0,254.0,360.0,6.0,6.0,11.0,26.0,37.0,270.0,296.0,92.0,106.0,291.0,255.0,535.0
Rotherham,E1,1516,21,49.0,13.0,10.0,23.0,53.0,71.0,561.0,640.0,181.0,225.0,550.0,489.0,765.0,8.0,6.0,9.0,31.0,34.0,322.0,293.0,97.0,107.0,248.0,242.0,380.0,5.0,4.0,14.0,22.0,37.0,239.0,347.0,84.0,118.0,302.0,247.0,385.0
Charlton,E1,1516,22,40.0,9.0,13.0,24.0,40.0,80.0,507.0,760.0,184.0,233.0,571.0,426.0,950.0,5.0,8.0,10.0,23.0,35.0,301.0,323.0,105.0,107.0,269.0,243.0,420.0,4.0,5.0,14.0,17.0,45.0,206.0,437.0,79.0,126.0,302.0,183.0,530.0
Milton Keynes Dons,E1,1516,23,39.0,9.0,12.0,25.0,39.0,69.0,504.0,647.0,150.0,220.0,489.0,666.0,930.0,7.0,3.0,13.0,21.0,37.0,310.0,276.0,88.0,92.0,234.0,350.0,385.0,2.0,9.0,12.0,18.0,32.0,194.0,371.0,62.0,128.0,255.0,316.0,545.0
