Team,League,Season,Position,Points,Win,Draw,Loss,Scored,Conceded,Shots_For,Shots_Ag,Shots_Tg_For,Shots_Tg_Ag,Fouls_For,Fouls_Ag,Bk_Pts,Win_H,Draw_H,Loss_H,Scored_H,Conceded_H,Shots_For_H,Shots_Ag_H,Shots_Tg_For_H,Shots_Tg_Ag_H,Fouls_For_H,Fouls_Ag_H,Bk_Pts_H,Win_A,Draw_A,Loss_A,Scored_A,Conceded_A,Shots_For_A,Shots_Ag_A,Shots_Tg_For_A,Shots_Tg_Ag_A,Fouls_For_A,Fouls_Ag_A,Bk_Pts_A
Bolton,E1,1516,24,30.0,5.0,15.0,26.0,41.0,81.0,539.0,665.0,166.0,236.0,553.0,566.0,870.0,5.0,11.0,7.0,24.0,26.0,318.0,290.0,97.0,91.0,268.0,282.0,440.0,0.0,4.0,19.0,17.0,55.0,221.0,375.0,69.0,145.0,285.0,284.0,430.0
Newcastle,E1,1617,1,94.0,29.0,7.0,10.0,85.0,40.0,704.0,444.0,251.0,140.0,525.0,524.0,865.0,15.0,3.0,5.0,49.0,23.0,388.0,196.0,133.0,68.0,265.0,261.0,445.0,14.0,4.0,5.0,36.0,17.0,316.0,248.0,118.0,72.0,260.0,263.0,420.0
Brighton,E1,1617,2,93.0,28.0,9.0,9.0,74.0,40.0,609.0,524.0,201.0,155.0,593.0,520.0,875.0,17.0,3.0,3.0,46.0,14.0,329.0,230.0,118.0,66.0,310.0,258.0,395.0,11.0,6.0,6.0,28.0,26.0,280.0,294.0,83.0,89.0,283.0,262.0,480.0
Reading,E1,1617,3,85.0,26.0,7.0,13.0,68.0,64.0,551.0,696.0,198.0,235.0,523.0,544.0,1020.0,16.0,5.0,2.0,35.0,16.0,277.0,326.0,98.0,86.0,254.0,286.0,505.0,10.0,2.0,11.0,33.0,48.0,274.0,370.0,100.0,149.0,269.0,258.0,515.0
Sheffield Weds,E1,1617,4,81.0,24.0,9.0,13.0,60.0,45.0,615.0,510.0,195.0,174.0,560.0,519.0,865.0,15.0,2.0,6.0,36.0,22.0,355.0,261.0,112.0,88.0,247.0,278.0,305.0,9.0,7.0,7.0,24.0,23.0,260.0,249.0,83.0,86.0,313.0,241.0,560.0
Huddersfield,E1,1617,5,81.0,25.0,6.0,15.0,56.0,58.0,625.0,434.0,205.0,158.0,538.0,584.0,910.0,15.0,2.0,6.0,34.0,26.0,349.0,175.0,113.0,71.0,253.0,306.0,390.0,10.0,4.0,9.0,22.0,32.0,276.0,259.0,92.0,87.0,285.0,278.0,520.0
Fulham,E1,1617,6,80.0,22.0,14.0,10.0,85.0,57.0,712.0,524.0,229.0,197.0,437.0,555.0,850.0,10.0,8.0,5.0,45.0,32.0,393.0,234.0,129.0,98.0,220.0,281.0,380.0,12.0,6.0,5.0,40.0,25.0,319.0,290.0,100.0,99.0,217.0,274.0,470.0
Leeds,E1,1617,7,75.0,22.0,9.0,15.0,61.0,47.0,524.0,599.0,153.0,174.0,550.0,476.0,885.0,14.0,4.0,5.0,32.0,16.0,276.0,276.0,83.0,77.0,267.0,240.0,405.0,8.0,5.0,10.0,29.0,31.0,248.0,323.0,70.0,97.0,283.0,236.0,480.0
Norwich,E1,1617,8,70.0,20.0,10.0,16.0,85.0,69.0,653.0,530.0,241.0,188.0,556.0,493.0,935.0,15.0,4.0,4.0,55.0,22.0,381.0,250.0,144.0,85.0,259.0,239.0,345.0,5.0,6.0,12.0,30.0,47.0,272.0,280.0,97.0,103.0,297.0,254.0,590.0
Derby,E1,1617,9,67.0,18.0,13.0,15.0,54.0,50.0,586.0,551.0,190.0,181.0,456.0,574.0,710.0,11.0,8.0,4.0,33.0,20.0,344.0,220.0,109.0,75.0,215.0,300.0,290.0,7.0,5.0,11.0,21.0,30.0,242.0,331.0,81.0,106.0,241.0,274.0,420.0
Brentford,E1,1617,10,64.0,18.0,10.0,18.0,75.0,65.0,640.0,652.0,228.0,233.0,488.0,499.0,780.0,11.0,5.0,7.0,42.0,25.0,342.0,304.0,126.0,104.0,251.0,258.0,480.0,7.0,5.0,11.0,33.0,40.0,298.0,348.0,102.0,129.0,237.0,241.0,300.0
Aston Villa,E1,1617,11,62.0,16.0,14.0,16.0,47.0,48.0,556.0,547.0,177.0,153.0,545.0,609.0,1000.0,12.0,8.0,3.0,33.0,20.0,310.0,243.0,108.0,63.0,282.0,304.0,450.0,4.0,6.0,13.0,14.0,28.0,246.0,304.0,69.0,90.0,263.0,305.0,550.0
Preston,E1,1617,12,62.0,16.0,14.0,16.0,64.0,63.0,573.0,641.0,187.0,209.0,544.0,492.0,925.0,11.0,6.0,6.0,40.0,26.0,342.0,310.0,109.0,102.0,280.0,268.0,405.0,5.0,8.0,10.0,24.0,37.0,231.0,331.0,78.0,107.0,264.0,224.0,520.0
Cardiff,E1,1617,13,62.0,17.0,11.0,18.0,60.0,61.0,574.0,566.0,193.0,169.0,570.0,537.0,755.0,11.0,4.0,8.0,31.0,26.0,318.0,251.0,103.0,80.0,288.0,293.0,315.0,6.0,7.0,10.0,29.0,35.0,256.0,315.0,90.0,89.0,282.0,244.0,440.0
Wolves,E1,1617,14,58.0,16.0,10.0,20.0,54.0,58.0,552.0,533.0,185.0,176.0,609.0,519.0,1010.0,8.0,4.0,11.0,25.0,30.0,286.0,271.0,92.0,89.0,308.0,264.0,430.0,8.0,6.0,9.0,29.0,28.0,266.0,262.0,93.0,87.0,301.0,255.0,580.0
Barnsley,E1,1617,15,58.0,15.0,13.0,18.0,64.0,67.0,634.0,699.0,211.0,237.0,547.0,601.0,875.0,6.0,11.0,6.0,32.0,33.0,335.0,297.0,112.0,102.0,269.0,314.0,450.0,9.0,2.0,12.0,32.0,34.0,299.0,402.0,99.0,135.0,278.0,287.0,425.0
Ipswich,E1,1617,16,55.0,13.0,16.0,17.0,48.0,58.0,472.0,619.0,165.0,194.0,577.0,492.0,760.0,8.0,10.0,5.0,30.0,24.0,253.0,252.0,92.0,80.0,278.0,249.0,290.0,5.0,6.0,12.0,18.0,34.0,219.0,367.0,73.0,114.0,299.0,243.0,470.0
Bristol City,E1,1617,17,54.0,15.0,9.0,22.0,60.0,66.0,673.0,623.0,204.0,199.0,542.0,619.0,775.0,11.0,4.0,8.0,33.0,26.0,330.0,265.0,98.0,79.0,279.0,305.0,280.0,4.0,5.0,14.0,27.0,40.0,343.0,358.0,106.0,120.0,263.0,314.0,495.0
QPR,E1,1617,18,53.0,15.0,8.0,23.0,52.0,66.0,575.0,607.0,187.0,208.0,618.0,517.0,975.0,9.0,4.0,10.0,30.0,32.0,311.0,278.0,93.0,98.0,294.0,265.0,335.0,6.0,4.0,13.0,22.0,34.0,264.0,329.0,94.0,110.0,324.0,252.0,640.0
Birmingham,E1,1617,19,53.0,13.0,14.0,19.0,45.0,64.0,585.0,615.0,169.0,196.0,588.0,648.0,1080.0,8.0,5.0,10.0,25.0,31.0,337.0,284.0,93.0,93.0,287.0,335.0,440.0,5.0,9.0,9.0,20.0,33.0,248.0,331.0,76.0,103.0,301.0,313.0,640.0
Burton,E1,1617,20,52.0,13.0,13.0,20.0,49.0,63.0,556.0,605.0,163.0,201.0,454.0,567.0,815.0,9.0,4.0,10.0,28.0,30.0,295.0,258.0,89.0,93.0,223.0,272.0,290.0,4.0,9.0,10.0,21.0,33.0,261.0,347.0,74.0,108.0,231.0,295.0,525.0
Nott'm Forest,E1,1617,21,51.0,14.0,9.0,23.0,62.0,72.0,581.0,608.0,198.0,203.0,544.0,554.0,1095.0,12.0,4.0,7.0,42.0,30.0,320.0,290.0,116.0,104.0,273.0,284.0,450.0,2.0,5.0,16.0,20.0,42.0,261.0,318.0,82.0,99.0,271.0,270.0,645.0
Blackburn,E1,1617,22,51.0,12.0,15.0,19.0,53.0,65.0,525.0,643.0,157.0,207.0,479.0,534.0,880.0,8.0,8.0,7.0,29.0,30.0,260.0,325.0,83.0,103.0,219.0,251.0,345.0,4.0,7.0,12.0,24.0,35.0,265.0,318.0,74.0,104.0,260.0,283.0,535.0
Wigan,E1,1617,23,42.0,10.0,12.0,24.0,40.0,57.0,535.0,579.0,152.0,171.0,586.0,532.0,850.0,5.0,8.0,10.0,19.0,26.0,304.0,215.0,76.0,68.0,296.0,278.0,360.0,5.0,4.0,14.0,21.0,31.0,231.0,364.0,76.0,103.0,290.0,254.0,490.0
Rotherham,E1,1617,24,23.0,5.0,8.0,33.0,40.0,98.0,511.0,772.0,179.0,260.0,562.0,482.0,815.0,5.0,6.0,12.0,23.0,34.0,292.0,383.0,104.0,113.0,252.0,233.0,410.0,0.0,2.0,21.0,17.0,64.0,219.0,389.0,75.0,147.0,310.0,249.0,405.0
Wolves,E1,1718,1,99.0,30.0,9.0,7.0,82.0,39.0,606.0,452.0,217.0,143.0,572.0,481.0,790.0,16.0,5.0,2.0,47.0,18.0,330.0,186.0,116.0,59.0,288.0,245.0,280.0,14.0,4.0,5.0,35.0,21.0,276.0,266.0,101.0,84.0,284.0,236.0,510.0
Cardiff,E1,1718,2,90.0,27.0,9.0,10.0,69.0,39.0,639.0,523.0,227.0,147.0,636.0,579.0,835.0,16.0,4.0,3.0,40.0,16.0,355.0,232.0,137.0,68.0,297.0,290.0,270.0,11.0,5.0,7.0,29.0,23.0,284.0,291.0,90.0,79.0,339.0,289.0,565.0
Fulham,E1,1718,3,88.0,25.0,13.0,8.0,79.0,46.0,636.0,526.0,209.0,163.0,499.0,571.0,835.0,13.0,8.0,2.0,40.0,17.0,356.0,230.0,111.0,63.0,268.0,278.0,345.0,12.0,5.0,6.0,39.0,29.0,280.0,296.0,98.0,100.0,231.0,293.0,490.0
Aston Villa,E1,1718,4,83.0,24.0,11.0,11.0,72.0,42.0,598.0,523.0,205.0,178.0,510.0,568.0,610.0,14.0,7.0,2.0,42.0,19.0,332.0,238.0,113.0,81.0,262.0,286.0,280.0,10.0,4.0,9.0,30.0,23.0,266.0,285.0,92.0,97.0,248.0,282.0,330.0
Middlesbrough,E1,1718,5,76.0,22.0,10.0,14.0,67.0,45.0,593.0,536.0,176.0,167.0,572.0,532.0,915.0,14.0,3.0,6.0,33.0,17.0,330.0,221.0,95.0,63.0,286.0,286.0,445.0,8.0,7.0,8.0,34.0,28.0,263.0,315.0,81.0,104.0,286.0,246.0,470.0
Derby,E1,1718,6,75.0,20.0,15.0,11.0,70.0,48.0,551.0,579.0,181.0,149.0,566.0,507.0,780.0,12.0,5.0,6.0,41.0,22.0,321.0,258.0,105.0,69.0,269.0,232.0,310.0,8.0,10.0,5.0,29.0,26.0,230.0,321.0,76.0,80.0,297.0,275.0,470.0
Preston,E1,1718,7,73.0,19.0,16.0,11.0,57.0,46.0,614.0,474.0,193.0,148.0,592.0,609.0,1175.0,9.0,8.0,6.0,27.0,22.0,314.0,232.0,97.0,64.0,279.0,290.0,530.0,10.0,8.0,5.0,30.0,24.0,300.0,242.0,96.0,84.0,313.0,319.0,645.0
Millwall,E1,1718,8,72.0,19.0,15.0,12.0,56.0,45.0,601.0,609.0,203.0,183.0,609.0,558.0,850.0,12.0,7.0,4.0,33.0,21.0,296.0,265.0,110.0,77.0,279.0,283.0,405.0,7.0,8.0,8.0,23.0,24.0,305.0,344.0,93.0,106.0,330.0,275.0,445.0
Sheffield United,E1,1718,9,69.0,20.0,9.0,17.0,62.0,55.0,536.0,481.0,190.0,152.0,530.0,569.0,930.0,12.0,5.0,6.0,33.0,20.0,301.0,215.0,102.0,68.0,239.0,287.0,450.0,8.0,4.0,11.0,29.0,35.0,235.0,266.0,88.0,84.0,291.0,282.0,480.0
Brentford,E1,1718,10,69.0,18.0,15.0,13.0,62.0,52.0,798.0,504.0,240.0,184.0,502.0,606.0,735.0,9.0,11.0,3.0,37.0,24.0,420.0,231.0,129.0,91.0,248.0,308.0,390.0,9.0,4.0,10.0,25.0,28.0,378.0,273.0,111.0,93.0,254.0,298.0,345.0
Bristol City,E1,1718,11,67.0,17.0,16.0,13.0,67.0,58.0,548.0,624.0,187.0,182.0,577.0,611.0,900.0,11.0,6.0,6.0,41.0,28.0,294.0,266.0,116.0,80.0,270.0,314.0,465.0,6.0,10.0,7.0,26.0,30.0,254.0,358.0,71.0,102.0,307.0,297.0,435.0
Ipswich,E1,1718,12,60.0,17.0,9.0,20.0,57.0,60.0,468.0,701.0,154.0,215.0,597.0,556.0,930.0,9.0,6.0,8.0,29.0,27.0,267.0,351.0,93.0,101.0,272.0,267.0,375.0,8.0,3.0,12.0,28.0,33.0,201.0,350.0,61.0,114.0,325.0,289.0,555.0
Norwich,E1,1718,13,60.0,15.0,15.0,16.0,49.0,60.0,650.0,597.0,185.0,199.0,564.0,657.0,925.0,8.0,8.0,7.0,25.0,25.0,360.0,255.0,96.0,87.0,283.0,347.0,390.0,7.0,7.0,9.0,24.0,35.0,290.0,342.0,89.0,112.0,281.0,310.0,535.0
Leeds,E1,1718,14,60.0,17.0,9.0,20.0,59.0,64.0,546.0,612.0,170.0,187.0,558.0,564.0,1015.0,10.0,6.0,7.0,32.0,27.0,290.0,276.0,91.0,87.0,283.0,298.0,515.0,7.0,3.0,13.0,27.0,37.0,256.0,336.0,79.0,100.0,275.0,266.0,500.0
Sheffield Weds,E1,1718,15,57.0,14.0,15.0,17.0,59.0,60.0,555.0,620.0,156.0,209.0,527.0,455.0,855.0,8.0,7.0,8.0,37.0,31.0,315.0,284.0,93.0,94.0,262.0,248.0,395.0,6.0,8.0,9.0,22.0,29.0,240.0,336.0,63.0,115.0,265.0,207.0,460.0
QPR,E1,1718,16,56.0,15.0,11.0,20.0,58.0,70.0,637.0,568.0,208.0,194.0,613.0,571.0,955.0,12.0,5.0,6.0,38.0,31.0,353.0,279.0,122.0,95.0,319.0,304.0,405.0,3.0,6.0,14.0,20.0,39.0,284.0,289.0,86.0,99.0,294.0,267.0,550.0
Nott'm Forest,E1,1718,17,53.0,15.0,8.0,23.0,51.0,65.0,594.0,628.0,193.0,206.0,528.0,521.0,975.0,10.0,3.0,10.0,25.0,27.0,313.0,288.0,95.0,84.0,275.0,268.0,400.0,5.0,5.0,13.0,26.0,38.0,281.0,340.0,98.0,122.0,253.0,253.0,575.0
Hull,E1,1718,18,49.0,11.0,16.0,19.0,70.0,70.0,572.0,553.0,210.0,191.0,563.0,558.0,870.0,7.0,8.0,8.0,41.0,32.0,329.0,225.0,125.0,87.0,296.0,308.0,515.0,4.0,8.0,11.0,29.0,38.0,243.0,328.0,85.0,104.0,267.0,250.0,355.0
Birmingham,E1,1718,19,46.0,13.0,7.0,26.0,38.0,68.0,587.0,602.0,174.0,200.0,559.0,495.0,910.0,10.0,3.0,10.0,21.0,24.0,302.0,273.0,85.0,86.0,269.0,258.0,400.0,3.0,4.0,16.0,17.0,44.0,285.0,329.0,89.0,114.0,290.0,237.0,510.0
Reading,E1,1718,20,44.0,10.0,14.0,22.0,48.0,70.0,455.0,624.0,149.0,221.0,515.0,596.0,935.0,5.0,8.0,10.0,25.0,35.0,266.0,296.0,87.0,103.0,249.0,294.0,395.0,5.0,6.0,12.0,23.0,35.0,189.0,328.0,62.0,118.0,266.0,302.0,540.0
Bolton,E1,1718,21,43.0,10.0,13.0,23.0,39.0,74.0,495.0,626.0,145.0,228.0,647.0,545.0,1030.0,9.0,4.0,10.0,25.0,33.0,273.0,300.0,84.0,105.0,315.0,267.0,450.0,1.0,9.0,13.0,14.0,41.0,222.0,326.0,61.0,123.0,332.0,278.0,580.0
Barnsley,E1,1718,22,41.0,9.0,14.0,23.0,48.0,72.0,634.0,640.0,198.0,196.0,488.0,490.0,770.0,5.0,9.0,9.0,25.0,32.0,339.0,290.0,110.0,80.0,253.0,239.0,305.0,4.0,5.0,14.0,23.0,40.0,295.0,350.0,88.0,116.0,235.0,251.0,465.0
Burton,E1,1718,23,41.0,10.0,11.0,25.0,38.0,81.0,409.0,633.0,127.0,207.0,482.0,573.0,720.0,4.0,5.0,14.0,19.0,43.0,245.0,263.0,73.0,89.0,241.0,299.0,300.0,6.0,6.0,11.0,19.0,38.0,164.0,370.0,54.0,118.0,241.0,274.0,420.0
Sunderland,E1,1718,24,37.0,7.0,16.0,23.0,52.0,80.0,532.0,619.0,167.0,215.0,549.0,583.0,1040.0,3.0,7.0,13.0,23.0,39.0,303.0,296.0,95.0,103.0,277.0,280.0,475.0,4.0,9.0,10.0,29.0,41.0,229.0,323.0,72.0,112.0,272.0,303.0,565.0
